State, Path, Depth, Distance From Goal
"open_a, open_a, open_a, open_a, open_a, open_a",out/state/ex_poss/open_a_open_a_open_a_open_a_open_a_open_a.dot,6,-1
"open_a, open_a, open_a, open_a, open_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_open_a_open_a_peek_a.dot,6,0
"open_a, open_a, open_a, open_a, open_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_open_a_open_a_signal_a_b.dot,6,-1
"open_a, open_a, open_a, open_a, open_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_open_a_open_a_signal_a_c.dot,6,-1
"open_a, open_a, open_a, open_a, open_a",out/state/ex_poss/open_a_open_a_open_a_open_a_open_a.dot,5,1
"open_a, open_a, open_a, open_a, peek_a, open_a",out/state/ex_poss/open_a_open_a_open_a_open_a_peek_a_open_a.dot,6,0
"open_a, open_a, open_a, open_a, peek_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_open_a_peek_a_peek_a.dot,6,0
"open_a, open_a, open_a, open_a, peek_a, shout_tail_a",out/state/ex_poss/open_a_open_a_open_a_open_a_peek_a_shout_tail_a.dot,6,0
"open_a, open_a, open_a, open_a, peek_a, signal_a_b",out/state/ex_poss/open_a_open_a_open_a_open_a_peek_a_signal_a_b.dot,6,0
"open_a, open_a, open_a, open_a, peek_a, signal_a_c",out/state/ex_poss/open_a_open_a_open_a_open_a_peek_a_signal_a_c.dot,6,0
"open_a, open_a, open_a, open_a, peek_a",out/state/ex_poss/open_a_open_a_open_a_open_a_peek_a.dot,5,0
"open_a, open_a, open_a, open_a, signal_a_b, distract_a_b",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_b_distract_a_b.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_b, distract_b_a",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_b_distract_b_a.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_b, open_a",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_b_open_a.dot,6,-1
"open_a, open_a, open_a, open_a, signal_a_b, peek_a",out/state/ex_poss/open_a_open_a_open_a_open_a_signal_a_b_peek_a.dot,6,0
